application_id,company,location,remote_option,org_type,company_size,role_type,source,applied_on,stage,days_to_response,flagged_skill_gap,estimated_ctc_lpa
APP-001,Deloitte,Bangalore,False,IT Consulting,MNC,Data Analytics,LinkedIn,2026-03-07,HR Interview,11.0,Docker,7.3
APP-002,TCS,Chennai,False,IT Services,MNC,Data Science,Naukri,2026-04-05,Applied,,LlamaIndex,4.8
APP-003,Cognizant,Chennai,True,IT Services,MNC,Software Engineering,Instahyre,2026-07-18,Applied,,Spark,5.7
APP-004,MNJ Software,Bangalore,True,Services,Small,IT Consulting,LinkedIn,2026-03-08,Online Assessment,5.0,Vector Databases,3.9
APP-005,TCS,Chennai,True,IT Services,MNC,Data Analytics,Campus/Off-campus Drive,2026-08-02,Rejected - No Response,2.0,AWS,3.8
APP-006,Mphasis,Bangalore,False,IT Services,MNC,Data Science,Instahyre,2026-07-18,Applied,,Vector Databases,3.7
APP-007,Microsoft,Bangalore,True,Product,MNC,AI/ML Engineering,Campus/Off-campus Drive,2026-05-11,Applied,,,5.4
APP-008,Microgreen Technologies,Mangaluru,False,Services,Small,Software Engineering,Naukri,2026-06-17,Rejected After Screening,8.0,Docker,3.9
APP-009,Invenger Technologies,Mangaluru,True,Services,Small,Data Science,Naukri,2026-05-26,HR Interview,5.0,LlamaIndex,4.1
APP-010,MRPL,Mangaluru,False,Core/PSU,Large,Data Analytics,LinkedIn,2026-05-31,Applied,,Spark,5.4
APP-011,HARMAN,Bangalore,False,Product,MNC,IT Consulting,LinkedIn,2026-06-26,Applied,,LlamaIndex,8.0
APP-012,MRPL,Mangaluru,False,Core/PSU,Large,Software Engineering,LinkedIn,2026-07-20,Rejected - No Response,30.0,,7.4
APP-013,Deloitte,Bangalore,False,IT Consulting,MNC,IT Consulting,Campus/Off-campus Drive,2026-06-01,Online Assessment,12.0,Vector Databases,5.7
APP-014,PwC,Bangalore,False,IT Consulting,MNC,Data Science,LinkedIn,2026-03-12,Applied,,Vector Databases,4.3
APP-015,OmneNEST Technologies,Mangaluru,True,Services,Small,Data Science,Company Website,2026-03-21,Online Assessment,2.0,,4.9
APP-016,Robosoft Technologies,Mangaluru,False,Product,Mid-size,Data Science,Referral,2026-05-11,Online Assessment,2.0,System Design,8.7
APP-017,NextAstra Technologies,Pune,False,Product,Startup,Software Engineering,Naukri,2026-06-03,Online Assessment,13.0,Vector Databases,7.0
APP-018,Cognizant,Chennai,False,IT Services,MNC,AI/ML Engineering,Company Website,2026-03-19,Rejected After Screening,6.0,System Design,4.3
APP-019,Infosys,Bangalore,True,IT Services,MNC,Data Analytics,Campus/Off-campus Drive,2026-05-02,Online Assessment,6.0,Kubernetes,4.4
APP-020,MRPL,Mangaluru,True,Core/PSU,Large,Data Science,Company Website,2026-07-21,Rejected After Screening,13.0,System Design,7.8
APP-021,Raktrix Technologies,Bangalore,True,Startup,Startup,Software Engineering,LinkedIn,2026-04-28,Rejected - No Response,9.0,,6.6
APP-022,Raktrix Technologies,Bangalore,True,Startup,Startup,Data Analytics,Referral,2026-05-08,Rejected - No Response,6.0,Vector Databases,5.9
APP-023,Capgemini,Bangalore,True,IT Services,MNC,AI/ML Engineering,Instahyre,2026-05-20,Applied,,System Design,3.0
APP-024,Wipro,Bangalore,True,IT Services,MNC,Data Science,Referral,2026-06-26,Applied,,Docker,5.1
APP-025,Invenger Technologies,Mangaluru,False,Services,Small,AI/ML Engineering,Naukri,2026-07-22,Online Assessment,15.0,Docker,4.6
APP-026,Persistent Systems,Pune,False,Product,Mid-size,AI/ML Engineering,Campus/Off-campus Drive,2026-06-18,Technical Interview,13.0,Tableau,7.7
APP-027,NextAstra Technologies,Pune,False,Product,Startup,Data Analytics,Naukri,2026-04-05,Online Assessment,6.0,Kubernetes,8.0
APP-028,Novigo Solutions,Mangaluru,True,Product,Small,Data Analytics,LinkedIn,2026-03-29,Applied,,System Design,7.7
APP-029,Infosys,Bangalore,False,IT Services,MNC,Data Science,Instahyre,2026-06-17,Rejected - No Response,7.0,LlamaIndex,5.0
APP-030,MRPL,Mangaluru,False,Core/PSU,Large,Software Engineering,Referral,2026-07-31,Rejected - No Response,7.0,AWS,4.0
APP-031,HARMAN,Bangalore,False,Product,MNC,Data Analytics,Campus/Off-campus Drive,2026-03-03,Applied,,SQL Advanced,8.1
APP-032,Robosoft Technologies,Mangaluru,False,Product,Mid-size,Data Science,Instahyre,2026-07-16,Applied,,,11.0
APP-033,Deloitte,Bangalore,False,IT Consulting,MNC,IT Consulting,Company Website,2026-03-29,Applied,,Tableau,5.5
APP-034,Infosys,Bangalore,False,IT Services,MNC,IT Consulting,Referral,2026-03-01,Applied,,,3.1
APP-035,Persistent Systems,Pune,True,Product,Mid-size,Software Engineering,Company Website,2026-07-07,Online Assessment,12.0,AWS,6.9
APP-036,Robosoft Technologies,Mangaluru,False,Product,Mid-size,Software Engineering,Instahyre,2026-05-16,Rejected After Screening,4.0,AWS,8.1
APP-037,Accenture,Bangalore,False,IT Consulting,MNC,Data Analytics,Naukri,2026-04-09,Applied,,,5.6
APP-038,Infosys,Bangalore,True,IT Services,MNC,Software Engineering,Campus/Off-campus Drive,2026-07-14,Applied,,Spark,3.9
APP-039,Raktrix Technologies,Bangalore,True,Startup,Startup,Software Engineering,Referral,2026-03-05,Applied,,,5.2
